barcode,price,active,quantity
744343546992,185,0,0
744343547302,140,0,0
3687330952789,210,1,9
6260128700624,70,0,0
6261149024379,50,0,0
113113,5,1,71
108006,24,0,0
110180,5.92,0,0
113674,14.9161,1,87
110115,18.75,1,10
111021,13.998,0,0
116025,300,0,0
6442160231896,650,0,2
744343546701,200,0,0
8964001844013,350,0,1
8964001844006,720,1,8
8964001844068,390,1,4
8964001844815,1800,0,1
8964001844433,320,1,11
8964001844426,175,1,7
8964001844457,10,0,1
6947790776906,170,0,1
6947790776609,190,0,1
230062603919,120,0,1
119084,120,1,8
8964000505960,300,0,0
3044354933116,110,0,0
6255236458963,150,0,0
6947790776606,80,0,0
6260033600019,50,0,0
111316,24.21428571,0,0
111249,23.78571429,0,-17
108509,6.773,1,220
109391,14,1,143
105821,850,0,1
100886,685,0,0
100375,1875,0,0
744343545339,80,0,0
109001008111,650,0,2
112577,45.73214286,1,28
8700216610445,450,0,1
8700216610384,450,1,4
8700216402934,830,0,1
4015400457879,830,0,0
8700216403023,830,0,0
4015400416869,830,0,0
8006540789483,250,1,4
8006540789513,250,1,6
4015400457848,520,1,5
4015400417491,420,0,0
8001841397993,1150,0,0
8001841231280,1250,0,0
8700216956840,830,0,1
4015400205289,830,0,0
4015400205227,830,0,2
4015400205258,420,0,-1
4015400214496,420,0,1
117540,19.6,0,0
109957,10.34,1,90
112358,24.48333333,1,45
113211,33.88,1,45
113628,41.008,1,270
112411,15.76666667,1,15
105760,585,0,1
107935,124.83,0,0
108757,194.39,0,0
110210,52.98,0,0
108159,24.37333333,0,0
8964000223659,35.66666667,0,0
116020,315,0,0
102709,102,0,-2
8964002289608,99,0,0
8964002289585,99,0,0
101954,290,0,-1
109549,12.929,1,58
108116,10.8,1,65
110064,11.95,0,-15
112559,10.4325,1,158
113904,18.4361,1,217
107832,126.26,0,2
108164,187.25,0,-2
112960,10.712,1,53
113749,18.2537,1,39
105517,192.55,0,0
109031,314.21,0,3
110675,17.5,1,20
108579,10,1,18
8961102505782,20,0,0
115269,30,1,86
113662,34.21428571,0,-56
112790,45.43928571,1,69
113214,27.555,0,0
112176,45.85714286,0,0
111255,35.14285714,1,14
112062,44.57142857,0,0
107102,1498,0,1
8964004135019,998,0,0
8964003557003,280,1,10
105444,106,0,3
107719,1.738666667,1,150
10019,350,1,5
8886950049014,76,0,0
8886950049038,143,0,0
8886950049113,91,0,0
8886950049137,160,0,0
108529,13.033,1,40
112329,50,1,70
113909,79.5,1,48
110130,14.00666667,1,80
107520,75.88,0,0
108281,12.6,0,-10
110798,18.25,1,15
106407,233,0,-1
114546,1209.124,0,0
113707,40.66666667,0,0
110219,398,0,3
3075860289732,280,0,0
8964000663233,70,0,2
899916000880,100,0,3
115266,27,0,-3
113908,61.84142857,1,28
114226,92.7625,1,28
107656,100,0,0
107657,80,0,0
12000002090,120,1,60
118213,1250,1,14
118214,390,1,12
12000014338,60,1,65
8964002343713,50,0,-19
103759,280,0,-5
106286,220.01,0,-2
110284,32.366,1,50
111761,48.549,1,20
111142,41.04,0,0
112344,58.14,1,4
112867,41.28571429,1,20
103752,120,1,33
4084500599789,290,1,7
8700216137737,99,0,0
8700216451260,580,0,3
8001841256788,580,1,5
8001841256696,1199,0,0
8006540960035,330,0,0
8001841256665,290,0,3
8006540978344,50,1,11
8006540978320,50,0,3
8001841474922,10,1,30
8006540978313,20,1,11
107820,184.5,0,-2
111987,6.86,1,156
113425,15.3751,1,17
109518,250,0,0
114842,175,0,3
8964000057650,90,0,2
855434001235,140,1,5
113860,259.565,1,6
108495,202.02,0,1
109926,202,0,0
111977,69.4875,0,2
112626,115.8316667,1,89
112866,8.4706,1,112
792625758892,180,0,-4
114320,99.83333333,1,40
106585,472,0,3
62980931334,250,1,4
107532,2.958333333,0,-320
109335,25.614,1,20
119035,123.29,0,2
119036,4.5,1,51
119034,3.0438,1,174
8886001026056,200,0,0
8886001026025,640,0,0
8996001356340,200,0,0
8996001356036,100,0,1
8996001356364,200,0,0
62980931335,250,0,1
107451,1,0,0
113657,154.2,1,30
107741,5.714285714,0,0
8964001025313,290,0,0
112467,48.5,0,0
117735,46.96916667,1,8
105615,224.95,0,0
109048,379.64,0,0
108843,220.86,0,1
110829,377.84,0,0
110627,585.94,0,1
109467,44.37833333,1,63
109566,47.92833333,0,-55
110401,60.42333333,0,-32
117736,61.07333333,1,97
118378,47.97,0,-1
113633,236.996,0,0
118808,30,1,46
107600,121,0,2
110016,1.68,1,510
112168,46,1,11
111669,35.28571429,0,0
110948,30,1,14
111266,16.96428571,0,0
111822,19.07571429,1,28
110927,17.64321429,0,0
111034,17.83142857,1,105
111862,19.82142857,1,4
112319,32.42857143,0,0
7791293048918,1000,0,0
7791293048857,1000,0,0
7791293048895,1000,0,0
8886467065767,750,0,1
104933,750,0,1
6001087364621,750,0,-1
6001087364614,750,0,2
6001087363815,750,0,2
6001087364638,750,0,-1
104935,750,0,0
8886467065774,750,0,1
7791293048901,750,0,2
8886467065804,750,0,1
6001087364690,750,0,1
118892,155,1,4
108357,131,0,-1
8886950072395,15,0,0
108670,213.81,0,1
108567,32.395,1,11
110624,59.39,0,-2
103809,315,0,0
109457,261.68,0,1
111261,42.91666667,0,0
111260,72.69166667,1,6
108102,4.115666667,1,60
108760,9.266666667,0,-60
112853,66.19583333,1,86
110807,410,0,1
111814,91.45333333,1,72
110790,29.7,0,-6
105863,1599.78,0,0
8964002481101,280,0,3
